Metric,Training,Validation,Testing
RMSE,2.703888416290283,3.531303882598877,3.397669792175293
Cosine Similarity,0.9057592153549194,0.9165771007537842,0.8744008541107178
R2 Score,0.908835232257843,0.8572574853897095,0.876789927482605
MAE,1.1871815919876099,1.5216511487960815,1.3194468021392822
MSE,7.3110127449035645,12.470107078552246,11.544159889221191
MAPE,1039538.625,1336613.375,1608004.625
PSNR,53.015716552734375,48.57466125488281,51.30016326904297
SSIM,0.9836930632591248,0.9686753749847412,0.9749695658683777
