Metric,Training,Validation,Testing
RMSE,2.3286638259887695,2.6127727031707764,2.8133790493011475
Cosine Similarity,0.8909309506416321,0.9006334543228149,0.9600950479507446
R2 Score,0.9347733855247498,0.9102043509483337,0.9136451482772827
MAE,0.9588784575462341,1.1202094554901123,1.1699551343917847
MSE,5.422675609588623,6.826581001281738,7.915102005004883
MAPE,615902.0625,713160.5,129940.0703125
PSNR,54.67932891845703,52.78492736816406,53.001373291015625
SSIM,0.9894515872001648,0.9823940396308899,0.9834917783737183
